Label;boot;user;type;zulu is gps;zulu hour;zulu min;zulu sec;date valid;zulu day;zulu mo;zulu year;nav port;sel course;cdi;vor from;vor to;gsi;brg 1 port;brg 2 port;brg 1;brg 2;dtw/dme;type.1;oil pres;man pres;oil temp;fuel pres;volts;amps;rpm;fuel flow;type.2;gals rem;fuel lvl 1;fuel lvl 2;ems gp 1;ems gp 2;ems gp 3;gp t-couple;contact 1;contact 2;contact 3;contact 4;contact 5;contact 6;type.3;egt 1;egt 2;egt 3;egt 4;egt 5;egt 6;cht 1;cht 2;cht 3;cht 4;type.4;cht 5;cht 6;hobbs;tach;hs34 gp 1;hs34 gp 2;hs34 gp 3;type.5;pitch;roll;heading;turn rate;airspeed;altitude;vert spd;gz;aoa %;oat;type.6
2228;1;0;0;0;12;32;24;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;29;13,0625;73;4,25;12,6875;-6,25;1219;7,25;3;24,0625;0;0;-45,625;903,375;-1178,875;2029;1;1;0;0;0;0;4;570;554;674;564;2029;2029;77;80;78;77;5;1406;1409;8,3125;4,5;0;0;0;6;-0,375;-1;49,875;0;0;349;156;1;100;-46;7
2235;0;0;0;0;12;32;29;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;63;13;74;5,625;13,6875;13,8125;1186;6,375;3;24;0;0;-45,5625;902,8125;-1160,9375;2029;1;1;0;0;0;0;4;712;705;817;715;2029;2029;83;85;84;82;5;1406;1409;8,3125;4,5;0;0;0;6;-0,375;-0,875;48,625;0;0;358;80;1;100;-46;7
2242;0;0;0;0;12;32;30;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;64;12,8125;73;5,625;13,9375;28,0625;1176;6,3125;3;24;0;0;-45,625;903,625;-1134,3125;2029;1;1;0;0;0;0;4;732;728;837;738;2029;2029;84;86;86;84;5;1406;1409;8,3125;4,5;0;0;0;6;-0,375;-1;48,5;0;0;359;53;1;100;-46;7
2248;0;0;0;0;12;32;35;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;65;12,4375;73;5,625;14;35,3125;1081;5,9375;3;24;0;0;-45,8125;903,75;-1104,75;2029;1;1;0;0;0;0;4;788;793;891;805;2029;2029;92;93;93;89;5;1406;1409;8,3125;4,5;0;0;0;6;-0,375;-1;48,375;0;0;359;-11;1;100;-46;7
2254;0;0;0;0;12;32;40;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;64;12,25;73;5,625;14,0625;34;1098;5,6875;3;24;0;0;-45,6875;903,875;-1080,25;2029;1;1;0;0;0;0;4;822;830;924;846;2029;2029;98;99;98;96;5;1406;1409;8,3125;4,5;0;0;0;6;-0,5;-1;48,5;0;0;359;-44;0,9375;100;-46;7
2260;0;0;0;0;12;32;45;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;64;12,5;74;5,625;13,9375;32,5;1097;5,5625;3;24;0;0;-45,8125;903,625;-1076,75;2029;1;1;0;0;0;0;4;852;860;955;885;2029;2029;105;106;105;103;5;1406;1408;8,3125;4,5;0;0;0;6;-0,625;-1;48,5;0;0;359;-53;1;100;-46;7
2266;0;0;0;0;12;32;50;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;63;12;75;5,625;14;33,3125;1107;5,5625;3;24;0;0;-45,5;901,625;-1066,375;2029;1;1;0;0;0;0;4;875;882;977;915;2029;2029;111;112;111;109;5;1406;1408;8,3125;4,5;0;0;0;6;-0,625;-0,75;48,5;0;0;359;-26;0,9375;100;-46;7
2272;0;0;0;0;12;32;55;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;63;11,75;75;5,625;14;32,375;1117;5,5;3;24;0;0;-45,625;902,5625;-1047,5;2029;1;1;0;0;0;0;4;896;903;1000;942;2029;2029;118;118;118;116;5;1406;1408;8,3125;4,5;0;0;0;6;-0,75;-0,75;48,5;0;0;359;-56;1;100;-46;7
2278;0;0;0;0;12;33;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;63;11,875;75;5,625;13,9375;31,1875;1125;5,3125;3;24;0;0;-45,625;902,25;-1034,25;2029;1;1;0;0;0;0;4;916;922;1022;966;2029;2029;124;125;124;122;5;1406;1408;8,3125;4,5;0;0;0;6;-0,875;-0,75;48,5;0;0;385;-48;1;100;-46;7
2284;0;0;0;0;12;33;5;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;63;11,625;75;5,625;13,9375;30;1122;5,1875;3;24;0;0;-46,125;905,6875;-1014,4375;2029;1;1;0;0;0;0;4;934;939;1043;992;2029;2029;131;132;130;128;5;1406;1408;8,3125;4,5;0;0;0;6;-0,75;-0,625;48,5;0,125;0;383;-26;1;100;-46;7
2290;0;0;0;0;12;33;10;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;63;12,125;75;5,625;14;29,5;1120;5,375;3;23,9375;0;0;-45,625;902,25;-1003,75;2029;1;1;0;0;0;0;4;952;958;1062;1015;2029;2029;138;138;137;135;5;1406;1408;8,3125;4,5;0;0;0;6;-0,75;-0,625;48,25;0;0;381;-15;1;100;-46;7
