Label;boot;user;type;zulu is gps;zulu hour;zulu min;zulu sec;date valid;zulu day;zulu mo;zulu year;nav port;sel course;cdi;vor from;vor to;gsi;brg 1 port;brg 2 port;brg 1;brg 2;dtw/dme;type.1;oil pres;man pres;oil temp;fuel pres;volts;amps;rpm;fuel flow;type.2;gals rem;fuel lvl 1;fuel lvl 2;ems gp 1;ems gp 2;ems gp 3;gp t-couple;contact 1;contact 2;contact 3;contact 4;contact 5;contact 6;type.3;egt 1;egt 2;egt 3;egt 4;egt 5;egt 6;cht 1;cht 2;cht 3;cht 4;type.4;cht 5;cht 6;hobbs;tach;hs34 gp 1;hs34 gp 2;hs34 gp 3;type.5;pitch;roll;heading;turn rate;airspeed;altitude;vert spd;gz;aoa %;oat;type.6
2134;1;0;0;0;16;25;43;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-4;30;171;4,25;13,4375;-3,8125;0;0;3;24,0625;0;0;-45,4375;902,5;1082,5625;2046;1;1;0;0;0;0;4;114;117;116;114;2046;2046;168;166;173;171;5;1414;1416;8,3125;4,5;0;0;0;6;-11,875;0;202;0;0;404;150;0,9375;100;-45;7
2140;0;0;0;0;16;25;48;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-2;30;171;5,625;13,4375;-5,25;0;0;3;24,0625;0;0;-45,25;902,9375;1083,625;2046;1;1;0;0;0;0;4;114;117;116;114;2046;2046;168;166;173;171;5;1414;1416;8,3125;4,5;0;0;0;6;-12;0;202;0;0;405;65;0,9375;100;-45;7
2146;0;0;0;0;16;25;53;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-2;30;171;5,625;13,375;-5,25;0;0;3;24,0625;0;0;-45,375;902,5;1083,75;2046;1;1;0;0;0;0;4;114;117;116;114;2046;2046;168;166;173;171;5;1414;1415;8,3125;4,5;0;0;0;6;-12;0;202,125;0,125;0;404;-43;0,9375;100;-45;7
2152;0;0;0;0;16;25;58;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-2;30;171;5,625;13,375;-5,25;0;0;3;24,0625;0;0;-45,375;901,9375;1084,875;2046;1;1;0;0;0;0;4;114;117;116;114;2046;2046;168;166;173;171;5;1414;1415;8,3125;4,5;0;0;0;6;-11,875;0;202;0,125;0;405;-23;0,9375;100;-45;7
2158;0;0;0;0;16;26;3;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-2;30;171;5,625;13,375;-5,25;0;0;3;24,0625;0;0;-45,5;902,625;1085;2046;1;1;0;0;0;0;4;114;117;116;114;2046;2046;168;166;173;171;5;1414;1415;8,3125;4,5;0;0;0;6;-11,875;0;202;0;0;405;-43;0,9375;100;-46;7
2164;0;0;0;0;16;26;8;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-2;30;171;5,625;13,375;-5;0;0;3;24,0625;0;0;-45,3125;903,4375;1084,9375;2046;1;1;0;0;0;0;4;114;117;116;114;2046;2046;168;166;173;171;5;1414;1414;8,3125;4,5;0;0;0;6;-12,125;0,125;202,125;0;0;404;-46;0,9375;100;-45;7
2170;0;0;0;0;16;26;13;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-2;30;171;5,625;13,375;-4,9375;0;0;3;24,0625;0;0;-45,8125;904,625;1086,5;2046;1;1;0;0;0;0;4;114;117;116;114;2046;2046;168;166;173;171;5;1414;1414;8,3125;4,5;0;0;0;6;-12,25;0,125;202,125;0;0;404;-30;0,9375;100;-46;7
2177;0;0;0;0;16;26;18;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-2;30;170;5,625;11,6875;-4,6875;0;0;3;24,0625;0;0;-45,3125;903,375;1086,125;2046;1;1;0;0;0;0;4;114;117;116;114;2047;2046;168;166;173;171;5;1414;1414;8,3125;4,5;0;0;0;6;-12,125;0,125;202,125;0;0;400;-38;0,9375;100;-45;7
2184;0;0;0;0;16;26;19;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;30,125;167;5,625;2,6875;-3,4375;0;0;3;24,0625;0;0;-45,5;902,625;1108,25;2046;1;1;0;0;0;0;4;114;117;116;114;2047;2046;168;166;173;171;5;1414;1414;8,3125;4,5;0;0;0;6;-12,125;0,125;202,125;0;0;400;-48;0,9375;100;-46;7
2191;0;0;0;0;16;26;21;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;30,1875;167;5,625;0,1875;-2,625;0;0;3;24,0625;0;0;-45,6875;903,9375;1108,625;2046;1;1;0;0;0;0;4;114;117;116;114;2047;2046;168;166;173;171;5;1414;1414;8,3125;4,5;0;0;0;6;-12,25;0,125;202,25;0;0;399;-14;0,9375;100;-46;7
2197;0;0;0;0;16;26;26;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;30,1875;167;5,625;0;-2,5;0;0;3;24,0625;0;0;-45,5625;902,875;1109,5;2046;1;1;0;0;0;0;4;114;117;116;114;2047;2046;168;166;173;171;5;1414;1414;8,3125;4,5;0;0;0;6;-12,125;0,125;202,25;0;0;396;-32;0,9375;100;-46;7
2203;0;0;0;0;16;26;31;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;30,1875;167;5,625;0;-2,5625;0;0;3;24,0625;0;0;-45,5625;902,8125;1109,5;2046;1;1;0;0;0;0;4;114;117;116;114;2047;2046;168;166;173;171;5;1414;1414;8,3125;4,5;0;0;0;6;-12,125;0,375;202,375;0;0;393;-28;0,9375;100;-46;7
2209;0;0;0;0;16;26;36;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;30,1875;167;5,625;0;-2,8125;0;0;3;24,0625;0;0;-45,5625;902,5;1109,4375;2046;1;1;0;0;0;0;4;114;117;116;114;2047;2046;168;166;173;171;5;1414;1414;8,3125;4,5;0;0;0;6;-12,125;0,5;202,375;0;0;391;-7;0,9375;100;-46;7
2215;0;0;0;0;16;26;41;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;30,1875;166;5,625;0;-2,75;0;0;3;24,0625;0;0;-45,5625;902,875;1113,1875;2046;1;1;0;0;0;0;4;114;117;116;114;2047;2046;168;166;173;171;5;1414;1414;8,3125;4,5;0;0;0;6;-12;0,375;202,25;0;0;389;-35;0,9375;100;-46;7
2221;0;0;0;0;16;26;46;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;30,1875;166;5,625;0;-2,125;0;0;3;24,0625;0;0;-45,5;903,6875;1113,0625;2047;1;1;0;0;0;0;4;114;117;116;114;2047;2047;168;166;173;171;5;1414;1414;8,3125;4,5;0;0;0;6;-12;0,375;202,25;0;0;389;-14;0,9375;100;-46;7
