Label;boot;user;type;zulu is gps;zulu hour;zulu min;zulu sec;date valid;zulu day;zulu mo;zulu year;nav port;sel course;cdi;vor from;vor to;gsi;brg 1 port;brg 2 port;brg 1;brg 2;dtw/dme;type.1;oil pres;man pres;oil temp;fuel pres;volts;amps;rpm;fuel flow;type.2;gals rem;fuel lvl 1;fuel lvl 2;ems gp 1;ems gp 2;ems gp 3;gp t-couple;contact 1;contact 2;contact 3;contact 4;contact 5;contact 6;type.3;egt 1;egt 2;egt 3;egt 4;egt 5;egt 6;cht 1;cht 2;cht 3;cht 4;type.4;cht 5;cht 6;hobbs;tach;hs34 gp 1;hs34 gp 2;hs34 gp 3;type.5;pitch;roll;heading;turn rate;airspeed;altitude;vert spd;gz;aoa %;oat;type.6
7;1;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-2;29,875;83;5,5625;13;-2,9375;0;0;3;25,6875;0;0;-45,8125;902,25;-1777,0625;2055;1;1;0;0;0;0;4;84;85;85;85;-2040;-2040;85;86;86;86;5;1235;1418;7,875;4,3125;0;0;0;6;-12,875;0,125;312,375;0;21,75;660;27;1;100;-46;7
14;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;29,875;83;5,625;13;-3,0625;0;0;3;25,6875;0;0;-45,5625;903,875;-1776,4375;2055;1;1;0;0;0;0;4;84;85;85;85;-2040;-2040;85;86;86;86;5;1272;1418;7,875;4,3125;0;0;0;6;-12,5;0;314,25;-0,125;22;661;7;1;100;-46;7
20;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;29,875;83;5,625;13;-3,0625;0;0;3;25,6875;0;0;-45,6875;902,8125;-1776,375;2055;1;1;0;0;0;0;4;84;85;85;85;-2040;-2040;85;86;86;86;5;1318;1418;7,875;4,3125;0;0;0;6;-12,625;-0,375;314,875;-0,125;22;660;-1;1;100;-46;7
27;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;30,125;82;5,625;3,9375;-230,4375;0;0;3;25,6875;0;0;-45,8125;904,25;-1751,25;2055;1;1;0;0;0;0;4;84;85;85;85;-2040;-2040;85;86;86;86;5;1353;1417;7,875;4,3125;0;0;0;6;-12,75;-0,375;315,25;0;22,75;662;-3;1;100;-46;7
