Label;boot;user;type;zulu is gps;zulu hour;zulu min;zulu sec;date valid;zulu day;zulu mo;zulu year;nav port;sel course;cdi;vor from;vor to;gsi;brg 1 port;brg 2 port;brg 1;brg 2;dtw/dme;type.1;oil pres;man pres;oil temp;fuel pres;volts;amps;rpm;fuel flow;type.2;gals rem;fuel lvl 1;fuel lvl 2;ems gp 1;ems gp 2;ems gp 3;gp t-couple;contact 1;contact 2;contact 3;contact 4;contact 5;contact 6;type.3;egt 1;egt 2;egt 3;egt 4;egt 5;egt 6;cht 1;cht 2;cht 3;cht 4;type.4;cht 5;cht 6;hobbs;tach;hs34 gp 1;hs34 gp 2;hs34 gp 3;type.5;pitch;roll;heading;turn rate;airspeed;altitude;vert spd;gz;aoa %;oat;type.6
34;1;0;0;0;14;35;49;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-4;30,0625;75;3,8125;13,0625;-1,125;0;0;3;25,6875;0;0;-45,875;904,0625;-1505,8125;2034;1;1;0;0;0;0;4;79;79;79;79;2034;2034;75;75;75;75;5;1409;1412;7,875;4,3125;0;0;0;6;0;-0,75;49,375;0,125;0;465;96;1;100;-46;7
40;0;0;0;0;14;35;54;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-2;30,0625;75;5,625;13,0625;-2,1875;0;0;3;25,6875;0;0;-45,5;903,875;-1506,5625;2034;1;1;0;0;0;0;4;79;79;79;79;2034;2034;75;75;75;75;5;1409;1412;7,875;4,3125;0;0;0;6;0;-1;49,125;0,125;0;469;72;0,9375;100;-46;7
46;0;0;0;0;14;35;59;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-2;30,0625;75;5,625;13,0625;-3;0;0;3;25,6875;0;0;-45,6875;903,75;-1506,6875;2034;1;1;0;0;0;0;4;79;79;79;79;2034;2034;75;75;75;75;5;1409;1412;7,875;4,3125;0;0;0;6;0,125;-1;49,25;0,25;0;470;-7;0,9375;100;-46;7
53;0;0;0;0;14;36;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-2;30,0625;75;5,625;13,0625;-3;0;0;3;25,6875;0;0;-45,6875;903,625;-1508;2034;1;1;0;0;0;0;4;79;79;79;79;2034;2034;75;75;75;75;5;1409;1412;7,875;4,3125;0;0;0;6;0,125;-1;49,125;0,25;0;470;-2;0,9375;100;-46;7
59;0;0;0;0;14;36;5;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;30,0625;75;5,625;13,0625;-3;0;0;3;25,6875;0;0;-45,5;903,875;-1507,8125;2034;1;1;0;0;0;0;4;79;79;79;79;2034;2034;75;75;75;75;5;1409;1411;7,875;4,3125;0;0;0;6;0;-0,875;49,125;0,125;0;387;-75;0,9375;100;-46;7
65;0;0;0;0;14;36;10;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;30,0625;75;5,625;13,0625;-3,4375;0;0;3;25,6875;0;0;-45,625;904,3125;-1507,5625;2034;1;1;0;0;0;0;4;79;79;79;79;2034;2034;75;75;75;75;5;1409;1411;7,875;4,3125;0;0;0;6;0;-1;49,125;0,25;0;387;-50;1;100;-46;7
71;0;0;0;0;14;36;15;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;30,0625;75;5,625;13,0625;-3,125;0;0;3;25,6875;0;0;-45,625;902,5625;-1509,0625;2034;1;1;0;0;0;0;4;79;79;79;79;2034;2034;75;75;75;75;5;1409;1411;7,875;4,3125;0;0;0;6;0,125;-0,875;49,375;0,125;0;386;-45;1;100;-46;7
77;0;0;0;0;14;36;20;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-2;30,0625;75;5,625;13,0625;-3,0625;0;0;3;25,6875;0;0;-45,3125;900,25;-1510,125;2034;1;1;0;0;0;0;4;79;79;79;79;2034;2034;75;75;75;75;5;1409;1411;7,875;4,3125;0;0;0;6;0,25;-0,75;49,25;0,125;0;386;-50;1;100;-45;7
83;0;0;0;0;14;36;25;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;30,0625;75;5,625;13,0625;-3,1875;0;0;3;25,6875;0;0;-45,5625;902,8125;-1508,9375;2034;1;1;0;0;0;0;4;79;79;79;79;2034;2035;75;75;75;75;5;1409;1410;7,875;4,3125;0;0;0;6;0,25;-0,625;49,25;0,125;0;386;-33;1;100;-46;7
89;0;0;0;0;14;36;30;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;30,0625;75;5,625;12,9375;-5,875;0;17,5;3;25,6875;0;0;-45,5;902,625;-1507,8125;2034;1;1;0;0;0;0;4;79;79;79;79;2034;2035;75;75;75;75;5;1409;1410;7,875;4,3125;0;0;0;6;0,25;-0,5;49,625;0,125;0;385;-23;1;100;-46;7
95;0;0;0;0;14;36;35;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;30,0625;75;5,625;12,9375;-5,3125;0;38,625;3;25,6875;0;0;-45,5625;904;-1508,9375;2034;1;1;0;0;0;0;4;79;79;79;79;2034;2035;75;75;75;75;5;1409;1410;7,875;4,3125;0;0;0;6;0;-0,375;49,875;0,125;0;382;-17;1;100;-46;7
101;0;0;0;0;14;36;40;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-2;30,0625;75;5,625;12,9375;-6,3125;0;43,375;3;25,6875;0;0;-45,5;902,5625;-1509,0625;2034;1;1;0;0;0;0;4;79;79;79;79;2034;2035;75;75;75;75;5;1409;1410;7,875;4,3125;0;0;0;6;0;-0,125;49,875;0,125;0;379;-12;1;100;-46;7
107;0;0;0;0;14;36;45;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;30,0625;75;5,625;13;-5,3125;0;36,4375;3;25,6875;0;0;-45,6875;902,875;-1508,9375;2034;1;1;0;0;0;0;4;79;79;79;79;2034;2035;75;75;75;75;5;1409;1410;7,875;4,3125;0;0;0;6;0;-0,125;49,5;0,125;0;376;-38;1;100;-46;7
113;0;0;0;0;14;36;50;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-2;30,0625;75;5,625;13;-3,375;293;16,25;3;25,6875;0;0;-45,5625;902,875;-1510,125;2034;1;1;0;0;0;0;4;79;79;79;79;2034;2035;75;75;75;75;5;1409;1410;7,875;4,3125;0;0;0;6;0;-0,125;49,125;0;0;376;-36;1;100;-46;7
119;0;0;0;0;14;36;55;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;30,0625;75;5,625;13;-4,125;0;5,9375;3;25,6875;0;0;-45,6875;904;-1511,4375;2034;1;1;0;0;0;0;4;79;79;79;79;2034;2035;75;75;75;75;5;1409;1410;7,875;4,3125;0;0;0;6;-0,375;-0,125;49,375;0,125;0;374;8;1;100;-46;7
126;0;0;0;0;14;36;57;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-2;29,75;75;5,625;11,875;-4,6875;0;3,625;3;25,6875;0;0;-45,625;902,5;-1492;2034;1;1;0;0;0;0;4;79;79;79;79;2034;2035;75;75;75;75;5;1409;1410;7,875;4,3125;0;0;0;6;-0,375;-0,25;49,25;0;0;373;-32;1;100;-46;7
133;0;0;0;0;14;36;58;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;28,5625;75;5,625;10,625;-5,1875;0;3,375;3;25,6875;0;0;-45,6875;903,875;-1516,4375;2034;1;1;0;0;0;0;4;79;79;79;79;2035;2035;75;75;75;75;5;1409;1410;7,875;4,3125;0;0;0;6;-0,375;-0,25;49;0,125;0;373;-25;1;100;-46;7
140;0;0;0;0;14;37;3;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;30,0625;75;5,625;12,75;-4,5;0;8,3125;3;25,6875;0;0;-45,5625;902,6875;-1516,3125;2035;1;1;0;0;0;0;4;79;79;79;79;2035;2035;75;75;75;75;5;1409;1410;7,875;4,3125;0;0;0;6;-0,5;-0,25;49,125;0;0;373;-10;1;100;-46;7
146;0;0;0;0;14;37;8;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;30,0625;75;5,625;12,875;-4,5;0;4,5;3;25,6875;0;0;-45,6875;902,3125;-1514,0625;2035;1;1;0;0;0;0;4;79;79;79;79;2035;2035;75;75;75;75;5;1409;1410;7,875;4,3125;0;0;0;6;-0,625;-0,25;49,25;0;0;372;-19;1;100;-46;7
153;0;0;0;0;14;37;10;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-1;29,8125;75;5,625;10,4375;-6,5;0;3,9375;3;25,6875;0;0;-45,5;902,5625;-1549,375;2035;1;1;0;0;0;0;4;79;79;79;79;2036;2035;75;75;75;75;5;1409;1410;7,875;4,3125;0;0;0;6;-0,625;-0,25;49,125;0;0;371;-12;1;100;-46;7
160;0;0;0;0;14;37;15;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,0625;75;5,625;12,6875;-4,625;0;5,625;3;25,6875;0;0;-45,6875;902,625;-1516,375;2035;1;1;0;0;0;0;4;78;79;78;78;2036;2035;75;75;75;75;5;1409;1410;7,875;4,3125;0;0;0;6;-0,75;-0,25;49,25;0;0;371;3;1;100;-46;7
166;0;0;0;0;14;37;20;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,125;75;5,625;12,875;-3;0;2,5;3;25,6875;0;0;-45,5625;902,875;-1512,5625;2035;1;1;0;0;0;0;4;78;79;78;78;2036;2035;75;75;75;75;5;1409;1410;7,875;4,3125;0;0;0;6;-0,5;-0,125;49,125;0;0;370;-28;1;100;-46;7
