Label;boot;user;type;zulu is gps;zulu hour;zulu min;zulu sec;date valid;zulu day;zulu mo;zulu year;nav port;sel course;cdi;vor from;vor to;gsi;brg 1 port;brg 2 port;brg 1;brg 2;dtw/dme;type.1;oil pres;man pres;oil temp;fuel pres;volts;amps;rpm;fuel flow;type.2;gals rem;fuel lvl 1;fuel lvl 2;ems gp 1;ems gp 2;ems gp 3;gp t-couple;contact 1;contact 2;contact 3;contact 4;contact 5;contact 6;type.3;egt 1;egt 2;egt 3;egt 4;egt 5;egt 6;cht 1;cht 2;cht 3;cht 4;type.4;cht 5;cht 6;hobbs;tach;hs34 gp 1;hs34 gp 2;hs34 gp 3;type.5;pitch;roll;heading;turn rate;airspeed;altitude;vert spd;gz;aoa %;oat;type.6
4661;1;0;0;0;13;20;23;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;-3;30,4375;209;4,625;0;-6,875;0;0;3;21,1875;0;0;-45,375;904,875;927,6875;192;1;1;0;0;0;0;4;142;148;149;151;192;198;282;283;302;301;5;198;1417;8,6875;4,6875;0;0;0;6;-11,375;0,125;194;0;18,5;386;214;0,9375;100;-45;7
4667;0;0;0;0;13;20;28;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;208;5,625;0;-10,25;0;0;3;21,1875;0;0;-45,5;904,8125;927,875;201;1;1;0;0;0;0;4;142;148;149;151;194;198;282;283;302;301;5;325;1417;8,6875;4,6875;0;0;0;6;-11,375;0;194,125;0;18,5;386;69;0,9375;100;-45;7
4673;0;0;0;0;13;20;33;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;208;5,625;0;-4,875;0;0;3;21,1875;0;0;-45,75;902,125;927,5625;209;1;1;0;0;0;0;4;142;148;149;151;198;199;282;283;302;301;5;437;1417;8,6875;4,6875;0;0;0;6;-11,75;0;194,125;0;18,5;386;-19;0,9375;100;-46;7
4679;0;0;0;0;13;20;38;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;208;5,625;0;-4,875;0;0;3;21,1875;0;0;-45,4375;901,9375;927,5625;215;1;1;0;0;0;0;4;142;148;149;151;202;201;282;283;302;301;5;535;1416;8,6875;4,6875;0;0;0;6;-11,75;0;194;0;18,5;386;-40;0,9375;100;-45;7
4686;0;0;0;0;13;20;39;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;208;5,625;0;-2,75;0;0;3;21,1875;0;0;-45,375;904,9375;927,9375;216;1;1;0;0;0;0;4;142;148;149;151;202;201;282;283;302;301;5;554;1416;8,6875;4,6875;0;0;0;6;-11,875;0;194;0;18,5;386;-63;0,9375;100;-45;7
4692;0;0;0;0;13;20;44;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;208;5,625;0;0,875;0;0;3;21,1875;0;0;-45,4375;903,9375;927,6875;222;1;1;0;0;0;0;4;142;148;149;151;207;203;282;283;302;301;5;641;1416;8,6875;4,6875;0;0;0;6;-12;0;194;-0,125;18;386;-27;0,9375;100;-45;7
4698;0;0;0;0;13;20;49;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;208;5,625;0;2,75;0;0;3;21,1875;0;0;-45,75;903,4375;926,375;227;1;1;0;0;0;0;4;142;148;149;151;213;204;282;283;302;301;5;721;1416;8,6875;4,6875;0;0;0;6;-12;0,125;194;0;17,5;386;-47;0,9375;100;-46;7
4704;0;0;0;0;13;20;54;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;208;5,625;0;1,1875;0;0;3;21,1875;0;0;-45,5;902,125;926,375;232;1;1;0;0;0;0;4;142;148;149;151;220;206;282;283;302;301;5;794;1416;8,6875;4,6875;0;0;0;6;-12,125;0;194,125;0;17,75;386;-12;0,9375;100;-45;7
4710;0;0;0;0;13;20;59;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;30,4375;208;5,625;0;-1,3125;0;0;3;21,1875;0;0;-45,5625;902,75;926,5;236;1;1;0;0;0;0;4;142;148;149;151;229;207;281;282;301;300;5;860;1416;8,6875;4,6875;0;0;0;6;-12;0;194;-0,125;17,25;386;-6;0,9375;100;-46;7
